PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Tahj Washington,WR,MIA,IND,106,46.50,2.00,22.25,3000,0.00,0.0,0
Joshua Cephus,WR,JAX,CAR,-153,46.00,-3.00,24.50,3000,0.00,0.0,0
Jason Bean,QB,IND,MIA,-125,46.50,-2.00,24.25,4000,0.00,0.0,0
Kedon Slovis,QB,HOU,LAR,121,44.50,2.50,21.00,4000,0.00,0.0,0
Cam Grandy,TE,CIN,CLE,-246,46.50,-6.00,26.25,2500,0.00,0.0,0
Tanner McLachlan,TE,CIN,CLE,-246,46.50,-6.00,26.25,2500,0.00,0.0,0
Erick All,TE,CIN,CLE,-246,46.50,-6.00,26.25,2500,0.00,0.0,0
Cole Burgess,WR,CIN,CLE,-246,46.50,-6.00,26.25,3000,0.00,0.0,0
Javon Baker,WR,NE,LV,-152,42.50,-3.00,22.75,3000,0.00,0.0,0
Kenny McIntosh,RB,SEA,SF,116,45.00,2.50,21.25,4400,0.00,0.0,0
Stetson Bennett,QB,LAR,HOU,-143,44.50,-2.50,23.50,4000,0.00,0.0,0
Velus Jones,RB,NO,ARI,211,42.50,6.00,18.25,4000,0.00,0.0,0
Ko Kieft,TE,TB,ATL,-127,48.00,-1.50,24.75,2500,0.00,0.0,0
Johnny Lumpkin,TE,GB,DET,-120,49.50,-1.50,25.50,2500,0.00,0.0,0
Xavier Hutchinson,WR,HOU,LAR,121,44.50,2.50,21.00,3000,0.00,0.0,0
Tank Dell,WR,HOU,LAR,121,44.50,2.50,21.00,3200,0.00,0.0,0
Zack Kuntz,TE,NYJ,PIT,129,38.00,3.00,17.50,2500,0.00,0.0,0
T.J. Luther,WR,CAR,JAX,129,46.00,3.00,21.50,3000,0.00,0.0,0
Lance McCutcheon,WR,PIT,NYJ,-152,38.00,-3.00,20.50,3000,0.00,0.0,0
Kaden Davis,WR,CLE,CIN,202,46.50,6.00,20.25,3000,0.00,0.0,0
Brandon Johnson,WR,PIT,NYJ,-152,38.00,-3.00,20.50,3000,0.00,0.0,0
Dennis Houston,WR,TB,ATL,-127,48.00,-1.50,24.75,3000,0.00,0.0,0
Dareke Young,WR,SEA,SF,116,45.00,2.50,21.25,3000,0.00,0.0,0
Travis Vokolek,TE,ARI,NO,-257,42.50,-6.00,24.25,2500,0.00,0.0,0
Bo Melton,WR,GB,DET,-120,49.50,-1.50,25.50,3000,0.00,0.0,0
Cal Adomitis,TE,CIN,CLE,-246,46.50,-6.00,26.25,2500,0.00,0.0,0
Connor Heyward,TE,PIT,NYJ,-152,38.00,-3.00,20.50,2500,0.00,0.0,0
Kendric Pryor,WR,CIN,CLE,-246,46.50,-6.00,26.25,3000,0.00,0.0,0
Kenny Pickett,QB,CLE,CIN,202,46.50,6.00,20.25,4900,0.00,0.0,0
Irvin Charles,WR,NYJ,PIT,129,38.00,3.00,17.50,3000,0.00,0.0,0
Zonovan Knight,RB,ARI,NO,-257,42.50,-6.00,24.25,4000,0.00,0.0,0
David Bell,WR,CLE,CIN,202,46.50,6.00,20.25,3000,0.00,0.0,0
Jake Tonges,TE,SF,SEA,-136,45.00,-2.50,23.75,2500,0.00,0.0,0
Tay Martin,WR,WAS,NYG,-284,45.50,-6.00,25.75,3000,0.00,0.0,0
Carlos Washington,RB,ATL,TB,108,48.00,1.50,23.25,4000,0.00,0.0,0
Charlie Jones,WR,CIN,CLE,-246,46.50,-6.00,26.25,3000,0.00,0.0,0
Brady Russell,RB,SEA,SF,116,45.00,2.50,21.25,4000,0.00,0.0,0
Kazmeir Allen,RB,WAS,NYG,-284,45.50,-6.00,25.75,4000,0.00,0.0,0
Ontaria Wilson,WR,NYJ,PIT,129,38.00,3.00,17.50,3000,0.00,0.0,0
Brandon Allen,QB,TEN,DEN,295,41.50,7.50,17.00,4000,0.00,0.0,0
Nate Adkins,TE,DEN,TEN,-375,41.50,-7.50,24.50,2500,0.00,0.0,0
Quintez Cephus,WR,HOU,LAR,121,44.50,2.50,21.00,3000,0.00,0.0,0
Aidan O'Connell,QB,LV,NE,128,42.50,3.00,19.75,4200,0.00,0.0,0
Sean Clifford,QB,GB,DET,-120,49.50,-1.50,25.50,4000,0.00,0.0,0
Blake Whiteheart,TE,CLE,CIN,202,46.50,6.00,20.25,2500,0.00,0.0,0
Brycen Tremayne,WR,CAR,JAX,129,46.00,3.00,21.50,3000,0.00,0.0,0
Mitchell Tinsley,WR,CIN,CLE,-246,46.50,-6.00,26.25,3000,0.00,0.0,0
Clayton Tune,QB,ARI,NO,-257,42.50,-6.00,24.25,4000,0.00,0.0,0
Shedrick Jackson,WR,LV,NE,128,42.50,3.00,19.75,3000,0.00,0.0,0
Brayden Willis,TE,SF,SEA,-136,45.00,-2.50,23.75,2500,0.00,0.0,0
Ronnie Bell,WR,DET,GB,100,49.50,1.50,24.00,3000,0.00,0.0,0
A.T. Perry,WR,DEN,TEN,-375,41.50,-7.50,24.50,3000,0.00,0.0,0
Jake Haener,QB,NO,ARI,211,42.50,6.00,18.25,4800,0.00,0.0,0
Will Levis,QB,TEN,DEN,295,41.50,7.50,17.00,4000,0.00,0.0,0
Ben Sims,TE,GB,DET,-120,49.50,-1.50,25.50,2500,0.00,0.0,0
Tanner Taula,TE,TB,ATL,-127,48.00,-1.50,24.75,2500,0.00,0.0,0
Malik Knowles,WR,SF,SEA,-136,45.00,-2.50,23.75,3000,0.00,0.0,0
Ryan Miller,WR,TB,ATL,-127,48.00,-1.50,24.75,3000,0.00,0.0,0
Trey Palmer,WR,TB,ATL,-127,48.00,-1.50,24.75,3000,0.00,0.0,0
Nate Noel,RB,IND,MIA,-125,46.50,-2.00,24.25,4000,0.00,0.0,0
